GENE,Variant_Count,Normalized_Count
MED15,54526,1.0
TANGO2,36831,0.675475919744709
KLHL22,14493,0.2657998019293548
TRMT2A,8798,0.16135421633716027
RANBP1,8760,0.16065730110406046
DGCR8,8228,0.15090048784066318
RTN4R,6755,0.12388585262076808
ZNF74,6702,0.1229138392693394
AC006547.13,4815,0.08830649598356748
ZDHHC8,4755,0.08720610351025199
USP41,3839,0.07040677841763562
SMPD4P1,3129,0.05738546748340241
PI4KAP1,2676,0.04907750430987052
SCARF2,1917,0.035157539522429664
AC006547.14-XXbac-B444P24.8,1714,0.03143454498771228
AC011718.2,1456,0.02670285735245571
DGCR6L,1419,0.02602428199391116
FAM230A,1253,0.022979862817738325
LINC00896-RTN4R,1218,0.022337967208304294
AC006547.14,1201,0.022026189340864907
