GENE,Variant_Count
MED15,54526
TANGO2,36831
KLHL22,14493
TRMT2A,8798
RANBP1,8760
DGCR8,8228
RTN4R,6755
ZNF74,6702
AC006547.13,4815
ZDHHC8,4755
USP41,3839
SMPD4P1,3129
PI4KAP1,2676
SCARF2,1917
AC006547.14-XXbac-B444P24.8,1714
AC011718.2,1456
DGCR6L,1419
FAM230A,1253
LINC00896-RTN4R,1218
AC006547.14,1201
LINC00896,811
XXbac-B444P24.10,748
AC023490.1,738
AC007050.18,627
XXbac-B444P24.8,587
ARVCF,561
RTN4R-XXbac-B444P24.10,558
AC007050.18-SMPD4P1,509
AC006547.8,383
SNORA77,375
MIR185,367
AC007050.17,365
XXbac-B444P24.14-XXbac-B33L19.3,350
KRT18P5,350
AC006547.15,334
RNU6-225P,331
XXbac-B562F10.11,329
Y_RNA,328
RN7SL812P,323
AC007731.1,323
XXbac-B444P24.13,321
XXbac-B33L19.3,305
MIR3618,295
MIR1306,294
KLHL22-IT1,290
ZNF74-RNU6-225P,288
MIR1286,277
XXbac-B444P24.14,272
AC006547.13-DGCR8,267
RNU6-225P-SCARF2,264
GGTLC3,172
XXbac-B33L19.6,153
AC011718.3,152
CA15P2,122
USP41-ZNF74,119
AC011718.1-AC011718.2,117
RIMBP3,112
AC023490.2,105
XXbac-B33L19.10,97
RIMBP3-XXbac-B33L19.10,97
XXbac-B33L19.3-GGTLC3,95
RANBP1-ZDHHC8,91
CA15P2-PPP1R26P2,83
SCARNA17,82
RN7SKP131,82
SCARNA18,82
PPP1R26P2,78
GGTLC3-AC023490.2,72
XXbac-B33L19.4,67
snoU13-SCARNA17,64
XXbac-B33L19.10-CA15P2,63
XXbac-B444P24.8-LINC00896,58
AC011718.1,54
snoU13,38
PPP1R26P2-AC011718.1,37
PPP1R26P3-FAM230A,36
XXbac-B444P24.10-DGCR6L,33
AC011718.2-PPP1R26P3,31
AC023490.1-PI4KAP1,28
PPP1R26P3,27
PI4KAP1-snoU13,22
DGCR6L-XXbac-B444P24.14,22
ZDHHC8-AC006547.14,12
ARVCF-TANGO2,11
KLHL22-MED15,1
AC023490.2-AC023490.1,1
